C0000100,y_true,duration,event,max_partial_hazard,mean_partial_hazard,n_intervals,prediction_matched_base_rate,correct_matched_base_rate
96203,1,5.0,1,1.7659304403738287,1.4510204101891508,3,1,True
96701,1,9.0,1,1.1532533029672538,1.1027697218275612,5,0,False
96702,1,11.0,1,1.2045176613313737,1.160577932353679,6,1,True
97502,0,15.0,0,1.321170599090526,1.279727773590184,8,1,False
97902,1,7.0,1,1.1276924976083609,1.1276924976083609,4,0,False
98101,1,3.0,1,9.084677609686446,5.029434940921043,2,1,True
99201,0,19.0,0,0.8930334983582616,0.7840413262460686,10,0,True
99203,0,19.0,0,0.6669699085410328,0.5892815967627084,10,0,True
99802,0,21.0,0,1.0337458066498286,0.9619943899717832,11,0,True
99902,1,5.0,1,1.217301780259684,1.217301780259684,3,1,True
100501,0,21.0,0,0.8610577235804205,0.798938486491828,11,0,True
101501,0,19.0,0,0.9246524442264408,0.8224481973747606,10,0,True
101502,1,5.0,1,1.8310558399897134,1.5426222428623293,3,1,True
101503,1,9.0,1,1.2045176613313737,1.1401448586690972,5,1,True
101504,0,21.0,0,1.6658245899039361,1.1488990654359432,11,1,False
101701,1,7.0,1,1.3491362234637099,1.3491362234637099,4,1,True
101702,1,11.0,1,1.1963076257217962,1.1627614185980448,6,1,True
101801,0,7.0,0,0.9246524442264408,0.9246524442264408,4,0,True
101902,1,19.0,1,5.530527798112591,1.6536231186599728,10,1,True
102503,0,19.0,0,0.7224020942830572,0.6103236158694669,10,0,True
102504,0,21.0,0,2.0425826066335087,1.5478778003520581,11,1,False
103001,1,7.0,1,0.6440866177297739,0.6440866177297739,4,0,False
103003,1,5.0,1,2.924941645756922,2.277339390483378,3,1,True
103004,1,13.0,1,0.9657550486075613,0.9657550486075613,7,0,False
103302,1,5.0,1,9.071660200206418,4.094904718894829,3,1,True
103501,0,19.0,0,1.3919545618137472,1.0848854719688905,10,1,False
103802,1,15.0,1,1.3047749069127783,1.1573480872921653,8,1,True
104001,1,5.0,1,1.249485832695874,1.249485832695874,3,1,True
104802,0,19.0,0,0.7744627617806288,0.6300398014596696,10,0,True
104901,1,11.0,1,1.7617804587910335,1.6041130233614223,6,1,True
104902,1,17.0,1,1.2555042804470167,1.006666482293114,9,1,True
105001,1,17.0,1,3.1410127986780023,1.2443159861933177,9,1,True
105701,0,19.0,0,0.6757092037437312,0.5473912471872707,10,0,True
105704,0,19.0,0,0.6469509713967146,0.5157187669503475,10,0,True
106502,0,19.0,0,1.1432652788340276,1.0664814118706976,10,0,True
107101,0,21.0,0,0.7415015708955532,0.5985144011330029,11,0,True
108001,1,3.0,1,3.897674540685709,2.635243463584459,2,1,True
108002,1,7.0,1,1.2256558948274183,1.158589645530039,4,1,True
108704,0,21.0,0,4.672831772665623,1.7878217454040362,11,1,False
109002,0,13.0,0,0.767755343093817,0.6775952297853868,7,0,True
110101,0,13.0,0,0.9408792874652048,0.9408792874652049,7,0,True
110301,0,19.0,0,1.1654933288738096,0.9283899363901986,10,0,True
111001,1,13.0,1,0.9087054566981844,0.8755803212871889,7,0,False
111101,0,11.0,0,0.7893240514790029,0.737422932328366,6,0,True
111202,1,5.0,1,1.3702625776688087,1.2702906665479787,3,1,True
111702,1,11.0,1,0.983578298732263,0.928416364423282,6,0,False
112305,1,9.0,1,1.1734918917242352,1.1221223678042036,5,0,False
113101,1,5.0,1,1.1532533029672538,1.0691140010677664,3,0,False
114101,1,19.0,1,1.2832965400973617,1.1425030697119438,10,1,True
115802,1,5.0,1,1.2256558948274183,1.1362342290975793,3,1,True
116002,1,7.0,1,1.1633285864863225,1.099672804039288,4,0,False
116005,1,17.0,1,1.3722012834927135,1.0902479232881213,9,1,True
116102,0,21.0,0,0.8724429812509813,0.8407573667106196,11,0,True
116301,0,11.0,0,0.9008353972687915,0.8299500060147641,6,0,True
116401,0,19.0,0,0.9573908976379011,0.7992616054481093,10,0,True
116402,1,3.0,1,2.5354913495843965,1.714262423971329,2,1,True
116501,0,21.0,0,0.8930334983582616,0.6981286356445376,11,0,True
117001,0,15.0,0,1.1333460279346401,0.9986993358830276,8,0,True
117002,1,5.0,1,0.9166442721240777,0.9166442721240777,3,0,False
117004,1,11.0,1,0.9573908976379011,0.9573908976379011,6,0,False
117701,1,7.0,1,1.2045176613313737,1.1386080678648316,4,1,True
118401,1,3.0,1,2.0490559150276306,1.499077550705934,2,1,True
118902,0,19.0,0,1.2606252041574335,1.122581148777331,10,1,False
119501,0,21.0,0,2.3578954122545155,1.2255993595716284,11,1,False
120002,1,9.0,1,0.9166442721240777,0.9077822685849641,5,0,False
120201,0,21.0,0,0.6583043962014293,0.5929647395762166,11,0,True
