feature_index,feature,threshold,left_value,right_value,loss,iteration,csv_code,survey_year,feature_group,question
249,C0005700,1986.0,-0.08512941615765927,0.07308863159502829,0.18642540486681666,111,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
117,C1220200,3.5,0.12181565046612633,-0.05102231438149799,0.18639168529410874,112,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
249,C0005700,1983.0,-0.11945197080616558,0.05007231506243926,0.18633762013792013,113,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
117,C1220200,3.5,0.1199079810324693,-0.05027603141201419,0.18632043185366404,114,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
249,C0005700,1983.0,-0.1177182609104253,0.049295013305269246,0.18626194159318873,115,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1986.0,-0.08202738649712338,0.0702640188985973,0.18624289026797747,116,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
117,C1220200,3.5,0.11729621888111579,-0.04925034994192842,0.1862000817136874,117,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
249,C0005700,1983.0,-0.11518627454830924,0.04816597931410074,0.18615091334474348,118,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
55,C0994500,636.0,-0.15400335179807073,0.03497769979196909,0.18613282199889372,119,C0994500,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
117,C1220200,3.5,0.11510106099643391,-0.0483697686887447,0.18605165965516773,120,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
205,C1977300,2.5,0.15478228206772235,-0.03609070429481299,0.1859754408078287,121,C1977300,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
249,C0005700,1983.0,-0.11289790678586135,0.04716907908295744,0.18590371769606784,122,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
55,C0994500,636.0,-0.15140103198369995,0.03435556428969128,0.18585389392395657,123,C0994500,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
205,C1977300,2.5,0.15242009482002133,-0.03558325928517374,0.18579349867705952,124,C1977300,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
249,C0005700,1983.0,-0.11114094545009819,0.04638473529470471,0.18573327174323265,125,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
55,C0994500,636.0,-0.14935448061812984,0.03385017715595373,0.18566299016594,126,C0994500,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
187,C1662300,2.5,0.15135085985206106,-0.03496987734710662,0.18559291403332012,127,C1662300,1996,school/achievement,PIAT MATH: CHILD GRADE IN SCHOOL
205,C1977300,2.5,0.14968712379500362,-0.034979621301009546,0.18553589800726725,128,C1977300,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
117,C1220200,3.5,0.11043448523528901,-0.04648884686282739,0.18546699241480485,129,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
55,C0994500,636.0,-0.14679147100291906,0.03328924853302003,0.18540007123967722,130,C0994500,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
249,C0005700,1983.0,-0.1083559760044947,0.04520322231401671,0.18534132487442692,131,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
205,C1977300,2.5,0.14699821374548389,-0.03438296171692053,0.1852911938509058,132,C1977300,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
55,C0994500,636.0,-0.1448252972331539,0.032802716050614446,0.18522211812523806,133,C0994500,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
187,C1662300,2.5,0.14678377007201407,-0.03393622702403349,0.1851533918167709,134,C1662300,1996,school/achievement,PIAT MATH: CHILD GRADE IN SCHOOL
249,C0005700,1983.0,-0.10635190226779687,0.04432787332389198,0.1851124916072262,135,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
205,C1977300,2.5,0.14438968412453032,-0.03380604647270453,0.1850532650975844,136,C1977300,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
55,C0994500,636.0,-0.14254393179528901,0.03225621547978024,0.18497128634174187,137,C0994500,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
187,C1662300,2.5,0.14395875543431957,-0.033317847881980306,0.1849350802641051,138,C1662300,1996,school/achievement,PIAT MATH: CHILD GRADE IN SCHOOL
205,C1977300,2.5,0.1423243158095029,-0.03331261286711195,0.18488833416021452,139,C1977300,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
55,C0994500,636.0,-0.14058595940283405,0.031824582770388,0.18480263901959823,140,C0994500,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
249,C0005700,1983.0,-0.10383307166800539,0.043249231080956796,0.18474612111297714,141,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
117,C1220200,3.5,0.10426012392261806,-0.043991525876377786,0.18470055429170396,142,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
19,C0781100,2.5,0.026954371823102286,-0.15958325507679302,0.1846651058094057,143,C0781100,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
205,C1977300,2.5,0.13954366329515064,-0.03270940964083786,0.18459499847850205,144,C1977300,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
55,C0994500,636.0,-0.13783528337979958,0.031154608454198072,0.18451821510047942,145,C0994500,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
187,C1662300,2.5,0.139394555741514,-0.0322963314117592,0.18446969463571128,146,C1662300,1996,school/achievement,PIAT MATH: CHILD GRADE IN SCHOOL
205,C1977300,2.5,0.13756702000700258,-0.0322347909293715,0.18444201725016723,147,C1977300,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
55,C0994500,636.0,-0.13595790456902387,0.0307430543696065,0.1843617686665175,148,C0994500,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
249,C0005700,1983.0,-0.10042397814737754,0.041788887034890865,0.18430976482602046,149,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
19,C0781100,2.5,0.02618113010850688,-0.15525905278644433,0.18427248999759308,150,C0781100,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
