C0000100,C0000200,later_any_delinquency_contact_2000_2020,later_persistent_delinquency_contact_2000_2020,later_delinquency_contact_positive_item_count_2000_2020,later_delinquency_contact_positive_year_count_2000_2020,later_delinquency_contact_first_event_year_2000_2020,later_delinquency_contact_second_event_year_2000_2020,later_delinquency_contact_last_observed_year_2000_2020,later_any_justice_contact_2000_2020,later_persistent_justice_contact_2000_2020,later_justice_contact_positive_item_count_2000_2020,later_justice_contact_positive_year_count_2000_2020,later_justice_contact_first_event_year_2000_2020,later_justice_contact_second_event_year_2000_2020,later_justice_contact_last_observed_year_2000_2020
304104.0,3041.0,1.0,1.0,12.0,6.0,2002.0,2004.0,2020.0,1.0,1.0,5.0,4.0,2006.0,2008.0,2020.0
304201.0,3042.0,1.0,1.0,4.0,2.0,2002.0,2004.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
304301.0,3043.0,1.0,0.0,2.0,1.0,2004.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
304302.0,3043.0,1.0,1.0,4.0,2.0,2014.0,2016.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
304501.0,3045.0,,,,,,,,,,,,,,
304502.0,3045.0,0.0,0.0,0.0,0.0,,,2016.0,0.0,0.0,0.0,0.0,,,2016.0
304503.0,3045.0,0.0,0.0,0.0,0.0,,,2008.0,0.0,0.0,0.0,0.0,,,2008.0
304504.0,3045.0,1.0,0.0,2.0,1.0,2002.0,,2014.0,0.0,0.0,0.0,0.0,,,2014.0
304601.0,3046.0,,,,,,,,,,,,,,
304602.0,3046.0,1.0,1.0,6.0,4.0,2008.0,2012.0,2020.0,1.0,1.0,4.0,2.0,2008.0,2012.0,2020.0
304603.0,3046.0,1.0,0.0,1.0,1.0,2006.0,,2016.0,0.0,0.0,0.0,0.0,,,2016.0
304604.0,3046.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
304605.0,3046.0,1.0,1.0,9.0,6.0,2002.0,2004.0,2018.0,1.0,1.0,6.0,5.0,2004.0,2010.0,2018.0
304701.0,3047.0,1.0,1.0,5.0,3.0,2000.0,2002.0,2018.0,1.0,1.0,5.0,3.0,2000.0,2002.0,2018.0
304702.0,3047.0,1.0,0.0,2.0,1.0,2006.0,,2020.0,1.0,0.0,2.0,1.0,2006.0,,2020.0
304801.0,3048.0,,,,,,,,,,,,,,
304802.0,3048.0,,,,,,,,,,,,,,
304901.0,3049.0,1.0,1.0,10.0,5.0,2004.0,2006.0,2020.0,1.0,1.0,5.0,4.0,2006.0,2008.0,2020.0
304902.0,3049.0,1.0,0.0,1.0,1.0,2006.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
305101.0,3051.0,,,,,,,,,,,,,,
305102.0,3051.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
305103.0,3051.0,1.0,0.0,2.0,1.0,2012.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
305301.0,3053.0,,,,,,,,,,,,,,
305401.0,3054.0,1.0,1.0,3.0,3.0,2006.0,2008.0,2018.0,1.0,1.0,3.0,3.0,2006.0,2008.0,2018.0
305402.0,3054.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
305403.0,3054.0,1.0,1.0,6.0,3.0,2006.0,2008.0,2020.0,1.0,1.0,2.0,2.0,2008.0,2010.0,2020.0
305701.0,3057.0,1.0,1.0,3.0,2.0,2000.0,2002.0,2018.0,1.0,1.0,3.0,2.0,2000.0,2002.0,2018.0
305702.0,3057.0,1.0,0.0,2.0,1.0,2002.0,,2018.0,1.0,0.0,2.0,1.0,2002.0,,2018.0
305801.0,3058.0,1.0,1.0,3.0,3.0,2000.0,2002.0,2010.0,1.0,0.0,1.0,1.0,2000.0,,2010.0
305802.0,3058.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
