C0000100,rank,csv_code,shap_logit,abs_shap_logit,base_logit,predicted_logit,probability,y_true,ref_id,variable,survey_year,feature_group,question
477402,1,C3870000,2.5796192931784967,2.5796192931784967,-0.4582665201088846,6.0465382369352705,0.9976395464135972,1,C38700.00,CSAS040B,2008,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
477402,2,C3422800,-0.8216076027338983,0.8216076027338983,-0.4582665201088846,6.0465382369352705,0.9976395464135972,1,C34228.00,MS-BPI-31,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
477402,3,C3422400,0.7941537265997366,0.7941537265997366,-0.4582665201088846,6.0465382369352705,0.9976395464135972,1,C34224.00,MS-BPI-28,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
477402,4,C3010700,0.5709157553748959,0.5709157553748959,-0.4582665201088846,6.0465382369352705,0.9976395464135972,1,C30107.00,BPI-11,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER
477402,5,C3010000,-0.5659038695669032,0.5659038695669032,-0.4582665201088846,6.0465382369352705,0.9976395464135972,1,C30100.00,BPI-04,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
477402,6,C1978000,0.5580517804988867,0.5580517804988867,-0.4582665201088846,6.0465382369352705,0.9976395464135972,1,C19780.00,MS984011,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER
477402,7,C3868100,0.4940706205666202,0.4940706205666202,-0.4582665201088846,6.0465382369352705,0.9976395464135972,1,C38681.00,CSAS024A,2008,peer/neighborhood,CHILD SELF-ADMIN: HAS CHILD EVER SEEN STUDENT CARRY A WEAPON ON
477402,8,C2435600,0.4697879070767863,0.4697879070767863,-0.4582665201088846,6.0465382369352705,0.9976395464135972,1,C24356.00,MS2-31,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
311802,1,C6051000,-1.711043061347684,1.711043061347684,-0.4582665201088846,-3.7201956039575457,0.023656059977312995,0,C60510.00,CRES2016,2016,family/home,USUAL RESIDENCE OF CHILD
311802,2,Y3332600,-1.3096177746576985,1.3096177746576985,-0.4582665201088846,-3.7201956039575457,0.023656059977312995,0,Y33326.00,RESTYPE2014,2014,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
311802,3,C6120500,-0.9193451596506702,0.9193451596506702,-0.4582665201088846,-3.7201956039575457,0.023656059977312995,0,C61205.00,CRES2018,2018,family/home,USUAL RESIDENCE OF CHILD
311802,4,Y3676400,-0.809343082276842,0.809343082276842,-0.4582665201088846,-3.7201956039575457,0.023656059977312995,0,Y36764.00,RESTYPE2016,2016,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
311802,5,C5525400,-0.6487362938122276,0.6487362938122276,-0.4582665201088846,-3.7201956039575457,0.023656059977312995,0,C55254.00,CRES2012,2012,family/home,USUAL RESIDENCE OF CHILD
311802,6,C5765300,0.5967429346877705,0.5967429346877705,-0.4582665201088846,-3.7201956039575457,0.023656059977312995,0,C57653.00,MS-BPI-13,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
311802,7,C0005700,0.4215445580446875,0.4215445580446875,-0.4582665201088846,-3.7201956039575457,0.023656059977312995,0,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
311802,8,C3946500,-0.30144158647205616,0.30144158647205616,-0.4582665201088846,-3.7201956039575457,0.023656059977312995,0,C39465.00,MS-BPI-10,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
211203,1,C2434400,0.3712184723323506,0.3712184723323506,-0.4582665201088846,2.0996534726321077,0.8908694936165465,1,C24344.00,MS2-19,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
211203,2,C1637300,0.24122985204275996,0.24122985204275996,-0.4582665201088846,2.0996534726321077,0.8908694936165465,1,C16373.00,MS961447,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
211203,3,C2738500,0.20187551032916345,0.20187551032916345,-0.4582665201088846,2.0996534726321077,0.8908694936165465,1,C27385.00,BPI-13,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
211203,4,C0008048,0.194489393884684,0.194489393884684,-0.4582665201088846,2.0996534726321077,0.8908694936165465,1,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
