csv_code,coefficient,mean_abs_shap_logit,mean_shap_logit,ref_id,variable,survey_year,feature_group,question
C5531200,-0.039502637596261644,0.01017341902967906,-0.0003507275825548295,C55312.00,BPEXTP2012,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS
C5190600,-0.02656371259938897,0.01010137287681871,-0.00016716849687357327,C51906.00,MS-BPI-10,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
Y2876800,0.0409096785164407,0.01004825758457502,0.0005938654347590606,Y28768.00,Q13-3D.02~000013,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
Y0971000,0.09907430616359819,0.0100338374850256,-0.0017161854011682551,Y09710.00,YASR-66F,1998,prior delinquency/contact,YA SELF-REPORT: AGE WHEN FIRST REFERRED TO COURT-RELATED COUNSELING
Y1941500,0.12128561208242102,0.009970459375927231,-0.0001433195814097754,Y19415.00,YASR-61B,2006,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
C1196900,-0.01792560390941382,0.009932337697938321,0.0008204990340882381,C11969.00,ANTIZX1992,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX
C0942400,-0.038260569585120065,0.009849199333589482,-0.0013962507220722225,C09424.00,CS906613,1990,prior delinquency/contact,CHILD SELF-ADMINISTERED: HURT SOMEONE BAD ENOUGH TO NEED A DOCTOR
Y0968400,0.0604203804440454,0.009842763879117507,-0.0018974804661964263,Y09684.00,YASR-65A~000001,1998,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF ASSAULT?
C3986700,-0.03418964682549956,0.009588665014489094,0.0006370893765025391,C39867.00,BPEXTR2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS
Y1942300,0.04861984467689806,0.009563924327926403,-0.0007944633519199389,Y19423.00,YASR-67,2006,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
C2797300,0.014835243039247067,0.009558392322564249,-0.0003880591769296068,C27973.00,ANTIPX2004,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX
C1979700,0.02078793599586354,0.009474816950472037,0.000165778127878153,C19797.00,MS984028,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
C0945200,0.06036347022775592,0.009474399101879465,-0.0004463378475764839,C09452.00,CS906669,1990,substance/risk behavior,CHILD SELF-ADMINISTERED: USED OTHER DRUGS IN THE PAST 3 MONTHS
Y0671000,-0.1062433626458644,0.009474074117649106,-0.0008672751454722341,Y06710.00,YASR-65A~000001,1996,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF ASSAULT?
Y3586305,0.03494844937520139,0.009356724588018273,0.0005592183742137135,Y35863.05,Q13-3A.01~000006,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
C1182600,0.014766790109746807,0.009324434281951328,0.0008749143511163311,C11826.00,MS921334,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
Y2345000,0.09795283898031601,0.009292644025442597,0.0018194228138259589,Y23450.00,Q4-5AA,2010,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY
C1558800,-0.015036869251542608,0.009124601536321213,0.0006141284588581227,C15588.00,ANTI1996,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE
C1532700,-0.012684453083119723,0.00911826410506507,-0.0002234636984339109,C15327.00,CS96H-22,1996,health,HEALTH: CHILD HEIGHT - FEET
Y3249001,-0.10407266199076819,0.009028636528493757,-0.0006007891205869582,Y32490.01,Q13-3G.02~000026,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
C2796300,0.0478175604411576,0.009001264358887913,0.0010569917453082777,C27963.00,BPMIS22004,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -
C3608100,0.024017222658691297,0.00887473134927446,-0.0004269182410485471,C36081.00,BPEXTR2008,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS
C0576705,0.023611767282981137,0.008841658778687114,-0.0003208075614223137,C05767.05,BPEXTP1986,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS
Y2875603,0.04138474126042753,0.008715871155032657,-0.00040936999177874125,Y28756.03,Q13-3A.02~000004,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
C3987300,-0.02999720505283672,0.008617868967453467,0.0006930012365640627,C39873.00,BPEXTZ2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS
Y1176802,0.17248510169127587,0.008612510095666026,-0.005817396680828581,Y11768.02,YASR-65A~000003,2000,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - THEFT
Y0672800,0.09259361354649659,0.008579555936469736,-0.0010793044781486473,Y06728.00,YASR-66,1996,prior delinquency/contact,YASR: EVER BEEN SENTENCED TO A CORRECTIONS INSTITUTION/JAIL/REFORM
