C0000100,C0005700,predictor_cutoff_year,persistent_violence_contact_age15_25,n_original_bol_features_pre15_by_year
585201,1981.0,1996.0,0.0,155
585202,1984.0,1999.0,0.0,250
585203,1987.0,2002.0,0.0,283
585501,1976.0,1991.0,0.0,81
585502,1977.0,1992.0,0.0,82
585503,1987.0,2002.0,0.0,283
586101,1981.0,1996.0,1.0,155
586102,1983.0,1998.0,0.0,201
586103,1984.0,1999.0,1.0,250
586201,1983.0,1998.0,0.0,201
586202,1985.0,2000.0,0.0,250
586801,1984.0,1999.0,0.0,250
586802,1987.0,2002.0,0.0,283
587001,1983.0,1998.0,0.0,201
587301,1983.0,1998.0,0.0,201
587302,1987.0,2002.0,0.0,283
588301,1983.0,1998.0,0.0,201
588701,1979.0,1994.0,1.0,105
588702,1986.0,2001.0,0.0,283
588801,1981.0,1996.0,0.0,155
588802,1982.0,1997.0,0.0,201
588901,1975.0,1990.0,0.0,53
588902,1982.0,1997.0,0.0,201
589501,1983.0,1998.0,0.0,201
589701,1983.0,1998.0,0.0,201
589702,1985.0,2000.0,0.0,250
589901,1983.0,1998.0,0.0,201
590601,1976.0,1991.0,0.0,81
590602,1980.0,1995.0,0.0,150
590901,1982.0,1997.0,0.0,201
590902,1983.0,1998.0,0.0,201
590903,1984.0,1999.0,0.0,250
590904,1986.0,2001.0,0.0,283
591101,1984.0,1999.0,0.0,250
591301,1974.0,1989.0,0.0,53
591302,1975.0,1990.0,0.0,53
591303,1976.0,1991.0,0.0,81
591601,1983.0,1998.0,0.0,201
591901,1977.0,1992.0,0.0,82
591902,1981.0,1996.0,0.0,155
591903,1983.0,1998.0,0.0,201
592301,1984.0,1999.0,0.0,250
592601,1973.0,1988.0,0.0,24
592602,1979.0,1994.0,0.0,105
592603,1983.0,1998.0,0.0,201
593203,1985.0,2000.0,0.0,250
593401,1984.0,1999.0,1.0,250
593601,1984.0,1999.0,0.0,250
594102,1983.0,1998.0,0.0,201
594701,1979.0,1994.0,0.0,105
594702,1980.0,1995.0,0.0,150
594801,1979.0,1994.0,0.0,105
595101,1979.0,1994.0,0.0,105
595102,1980.0,1995.0,0.0,150
595104,1984.0,1999.0,0.0,250
595105,1985.0,2000.0,0.0,250
595202,1981.0,1996.0,0.0,155
595203,1983.0,1998.0,0.0,201
595204,1984.0,1999.0,0.0,250
595401,1981.0,1996.0,0.0,155
595701,1979.0,1994.0,1.0,105
596501,1977.0,1992.0,0.0,82
596503,1981.0,1996.0,0.0,155
596504,1985.0,2000.0,0.0,250
597301,1979.0,1994.0,0.0,105
597601,1979.0,1994.0,0.0,105
597602,1984.0,1999.0,0.0,250
597801,1974.0,1989.0,0.0,53
598001,1984.0,1999.0,0.0,250
598301,1983.0,1998.0,0.0,201
598601,1982.0,1997.0,0.0,201
599801,1981.0,1996.0,1.0,155
599901,1978.0,1993.0,0.0,105
599902,1981.0,1996.0,0.0,155
600201,1982.0,1997.0,0.0,201
600202,1987.0,2002.0,0.0,283
600302,1985.0,2000.0,0.0,250
600401,1979.0,1994.0,1.0,105
600402,1983.0,1998.0,0.0,201
600501,1981.0,1996.0,0.0,155
600502,1985.0,2000.0,0.0,250
601501,1978.0,1993.0,0.0,105
601901,1979.0,1994.0,0.0,105
601902,1980.0,1995.0,0.0,150
601903,1982.0,1997.0,0.0,201
602301,1980.0,1995.0,0.0,150
602302,1983.0,1998.0,0.0,201
