C0000100,C0000200,C0005300,C0005400,C0005700,C0005800,C0007000,first_observed_age,last_observed_age,n_observed_age_years,n_observed_age_years_15_25,any_observed_age_ge_25,observed_age_year_count_15_25,observed_survey_years_15_25,violence_positive_age_year_count_15_25,violence_first_event_age_15_25,violence_second_event_age_15_25,violence_last_event_age_15_25,violence_positive_survey_years_15_25,eligible_observed_through_age_25,persistent_violence_contact_age15_25,predictor_cutoff_age,predictor_cutoff_year
13802,138.0,3.0,1.0,1991.0,2.0,28.0,15.0,21.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2006.0
13803,138.0,3.0,2.0,1993.0,3.0,30.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2008.0
14001,140.0,3.0,1.0,1993.0,1.0,34.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,1,15.0,,15.0,2008,False,,15,2008.0
14301,143.0,3.0,1.0,1985.0,1.0,24.0,,,,,,,,0,,,,,False,,15,2000.0
14302,143.0,3.0,1.0,1988.0,2.0,26.0,16.0,24.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,2,16.0,20.0,20.0,2004;2008,False,,15,2003.0
14303,143.0,3.0,2.0,1990.0,4.0,29.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,2,16.0,18.0,18.0,2006;2008,False,,15,2005.0
14304,143.0,3.0,1.0,1990.0,3.0,29.0,16.0,22.0,3.0,3.0,False,3.0,2006;2008;2012,0,,,,,False,,15,2005.0
14401,144.0,3.0,1.0,1992.0,1.0,28.0,16.0,20.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2007.0
14402,144.0,3.0,2.0,1994.0,2.0,30.0,16.0,18.0,2.0,2.0,False,2.0,2010;2012,0,,,,,False,,15,2009.0
14403,144.0,3.0,2.0,1997.0,3.0,32.0,15.0,15.0,1.0,1.0,False,1.0,2012,0,,,,,False,,15,2012.0
14701,147.0,3.0,2.0,1987.0,1.0,26.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,0,,,,,True,0.0,15,2002.0
14702,147.0,3.0,1.0,1990.0,2.0,28.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2005.0
14901,149.0,3.0,2.0,1991.0,1.0,27.0,15.0,21.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2006.0
14902,149.0,3.0,1.0,1993.0,2.0,29.0,15.0,17.0,2.0,2.0,False,2.0,2008;2010,0,,,,,False,,15,2008.0
